"lat","lng"
-8.03906092105263,-34.8902075263158
-8.108412,-34.911628
-8.13102224516129,-34.9176302709677
-8.13317928,-34.90078756
-8.04459584210526,-34.9048535394737
-8.08358683333333,-34.9446646666667
-8.09906818604651,-34.9058097906977
-8.08190257142857,-34.9048905238095
-8.107028625,-34.9172255
-8.0626494,-34.913847
-8.05643775,-34.9016733125
-8.11601933333333,-34.9141446666667
-8.04385953846154,-34.93017
-8.04374017857143,-34.9076575714286
-8.0369124,-34.8967986
-8.058577625,-34.909615125
-8.10328383783784,-34.910651972973
-8.03958636585366,-34.8913288780488
-8.07133178431373,-34.8941886862745
-8.002485,-34.8579010666667
-8.11297504054054,-34.9136256351351
-8.05142615789474,-34.9080218421053
-8.10690009090909,-34.9163340909091
-8.049832,-34.907089
-8.04527656164383,-34.8849771232877
-8.08150633333333,-34.8859416666667
-8.10497075,-34.889652125
-8.092958,-34.9089766666667
-8.05219525,-34.918525
-8.0488405,-34.9017195
-8.0620465,-34.9372755
-8.09903276470588,-34.9100332941176
-8.037096,-34.945723
-8.0636485,-34.89480475
-8.05921352,-34.90581448
-8.03042890909091,-34.8924253636364
-8.03910442857143,-34.9062183673469
-8.087116125,-34.931402
-8.14706688888889,-34.9076123333333
-8.05078266666667,-34.9212315
-8.05409157142857,-34.9406186428571
-8.04244953333333,-34.9352216
-8.0851046,-34.8870356
-8.09653457142857,-34.8871864285714
-8.06843785714286,-34.9097314285714
-8.106555,-34.911893
-8.046911375,-34.877773125
-8.10315081818182,-34.9274769545455
-8.041335,-34.8851786666667
-8.04494079069767,-34.8801701511628
-8.10477238095238,-34.9111931904762
-8.068341,-34.9096226956522
-8.1323335,-34.914131
-8.04704144444444,-34.9272754444444
-8.09294668055556,-34.9080231666667
-8.041195,-34.898431
-8.11040256,-34.91031832
-8.126867,-34.913961
-8.0373985,-34.95404975
-8.08399,-34.89921
-8.031659,-34.954872
-8.03934418518519,-34.9100641111111
-8.0956955,-34.9191747
-8.11938611538462,-34.9127906923077
-8.05271417948718,-34.9179871538462
-8.0465513,-34.9067818
-8.08525,-34.9316805
-8.06156582352941,-34.9064152941177
-8.04043406666667,-34.8868742
-8.10232894736842,-34.9107845789474
-8.04427332352941,-34.9305586176471
-8.062437875,-34.913660125
-8.06784633333333,-34.8801973333333
-8.04992214285714,-34.8947681428571
-7.9384052,-34.8997988
-8.0157085,-34.8910095
-8.04553428571429,-34.9282022857143
-8.12373541666667,-34.9053858333333
-8.086985,-34.886835
-8.13880038181818,-34.9059516545455
-8.10317633333333,-34.9109596
-8.04675188235294,-34.9202810588235
-8.05658544444444,-34.9241753888889
-8.0534749047619,-34.905544952381
-8.07304357692308,-34.9151138846154
-8.0625233,-34.9346437
-8.0878642,-34.8828642
-8.07095767857143,-34.9010204285714
-8.128138,-34.9123209583333
-8.04355012121212,-34.9330651212121
-8.07671647058823,-34.9089842352941
-8.05720192307692,-34.9014343076923
-8.07908086666667,-34.907293
-8.02623396428571,-34.8945259285714
-8.122807,-34.9049842380952
-8.06213983333333,-34.9214266666667
-8.0817525,-34.9231935
-8.08225755555556,-34.9086224444444
-8.126309625,-34.913801375
-8.06708982758621,-34.8805666896552
-8.02862363636364,-34.928064
-8.11157966666667,-34.9200343333333
-8.09434642857143,-34.9095083333333
-8.10796178571428,-34.9153392142857
-8.09042409375,-34.90811071875
-8.05848033333333,-34.9277843333333
-8.0272455,-34.89607925
-8.04149366666667,-34.9375976666667
-8.11140697435897,-34.8984792179487
-8.065534,-34.9075749166667
-8.12572433333333,-34.9027553333333
-8.080334,-34.933466
-8.04177577777778,-34.8914383333333
-8.087061,-34.886889
-8.1009635,-34.8959555
-8.0858495,-34.8946066666667
-8.093972,-34.8859796666667
