dt,ts,lat,lng,thoroughfare,place_name
2017-06-28,1498667287666,-8.11276,-34.92149,Rua Jean Emile Favre,Dinâmica Auto Peças
2017-06-14,1497481260968,-8.087995,-34.883032,Rua Carlos Líra Filho,Pit Stop
2017-06-22,1497865960877,-8.132002,-34.917968,Piso Desembarque,Pass Garagge
2017-06-27,1498587367134,-8.039649,-34.891414,Rua Alfredo de Castro,América Ford
2017-06-22,1498148738859,-8.038841,-34.910515,Rua Afonso de Albuquerque Melo,Via Total Centro Técnico Automotivo
2017-06-22,1498141645113,-8.067768,-34.881645,Rua da Palma,Tio Tonho Serviços e Auto Peças
2017-06-06,1496753261905,-8.112423,-34.926361,Avenida Recife,Equipadora Taurus Som
2017-06-06,1496709760432,-8.026089,-34.919745,Rua Rio Sul,Rodopecas
2017-06-09,1496937255061,-8.027112,-34.927403,Av. 17 De Agosto,Ng Car 
2017-06-13,1497367797367,-8.055781,-34.92201,Rua Gomes Taborda,Centro Service - Bosh
2017-06-30,1498846583879,-8.125296,-34.908037,Rua Amália Bernardino de Souza,Arthur Equipadora
2017-06-23,1498225394319,-8.0295,-34.892664,"Av Beberibe, 954",Lojao do Petroleo
2017-06-27,1498560538599,-8.055629,-34.897329,Rua Carlos Pôrto Carreiro,Mapfre Seguros
2017-06-12,1497294537131,-8.062466,-34.916062,Avenida Engenheiro Abdias de Carvalho,Mousem Auto Peças
2017-06-21,1498066933096,-8.092597,-34.886473,Avenida Encanta Moça,HDI Seguros Bate-Pronto Pernambuco
2017-06-14,1497440594155,-8.092301,-34.908296,Avenida Marechal Mascarenhas de Morais,Meira Lins - Concessionária Volkswagen
2017-06-18,1497750151338,-8.078716,-34.892244,Praça Governador Paulo Pessoa Guerra,Meio Fio Veículos
2017-06-13,1497385683078,-8.106759,-34.926746,"Rua São Nicolau, 427 em Ipsep",Auto Peças Santa Cecília
2017-06-22,1498134747919,-8.034881,-34.949681,PE-005,MUSTANG
2017-06-15,1497541525330,-8.049207,-34.881739,Rua Pedro Afonso,Via Norte Auto Peças
2017-06-14,1497440717289,-8.126867,-34.913961,Rua Nestor Moreira,Import Service
2017-06-22,1498153528098,-8.112047,-34.912971,"Av Mal. Mascarenhas de Morais, 3286-3310 - Imbiribeira",Via Norte
2017-06-18,1497803513051,-8.018842,-34.921103,Rua Americana,Fox Acessórios e Equipadora
2017-06-15,1497540985268,-8.107952,-34.91534,Rua Itacari,Ipsep Pecas Usadas
2017-06-13,1497353919309,-8.009166,-34.937052,Estrada Particular Br Cento e Um,Mplub
2017-06-08,1496920299580,-8.043717,-34.907746,Rua José Bonifácio,Recife Honda
2017-06-22,1498165091328,-8.112178,-34.921167,Rua Jean Emile Favre,Acessórios Service
2017-06-08,1496941194601,-8.043354,-34.897143,Av. Rosa e Silva,Moto Pecas Norte
2017-06-28,1498227898479,-7.987468,-34.855729,"Av Pan Nordestina, ~3654",Toyolex Veículos
2017-06-09,1496972646010,-8.070088,-34.910236,"Rua Cosme Viana, 24 em Afogados",Flex Equipadora
2017-06-19,1497874917074,-8.03891,-34.889693,"Av Norte, ~2153",Renault Regence
2017-06-16,1497623754160,-8.09274,-34.908694,Avenida Marechal Mascarenhas de Morais,Meira Lins - Concessionária Volkswagen
2017-06-08,1496963254365,-8.148443,-34.914705,Rua Armindo Moura,LIV Brasil
2017-06-07,1496841960416,-8.107937,-34.911529,Avenida Marechal Mascarenhas de Morais,Troller
2017-06-24,1498265285882,-8.131541,-34.917785,Rua Desembarque Aeroporto,Pass Garagge
2017-06-13,1497348755232,-8.041284,-34.898396,Av. Cons. Rosa e Silva,Avenida Conselheiro Rosa e Silva
2017-06-11,1497223040041,-8.037189,-34.874573,Avenida Governador Agamenon Magalhães,Araújo Amortecedor
2017-06-21,1498057929615,-8.116175,-34.903136,Rua Padre Carapuceiro,Mar Veiculos
2017-06-24,1498213509397,-8.068532,-34.909319,Estrada do Bongi,Imbiribeira Veiculos
2017-06-18,1497761783057,-8.089353,-34.882788,"Avenida Engenheiro Antônio Góis, 124 em PINA",Taiyô Motors Recife
2017-06-24,1498345516586,-8.132065,-34.90096,Rua Barão de Souza Leão,Mar Veiculos
2017-06-24,1498178408135,-8.059925,-34.939735,"Rua Zumbi dos Palmares, 1180",Ligue Peças 
2017-06-15,1497560448678,-8.114358,-34.913897,Rua Jaçanã,Via Norte
2017-06-26,1498490417422,-8.062762,-34.910859,Rua Doutor Alfredo Nader,Sport Car
2017-06-22,1498136828071,-8.041284,-34.898396,Avenida Conselheiro Rosa e Silva,Avenida Conselheiro Rosa e Silva
2017-06-08,1496880422926,-8.057047,-34.917903,Rua Gomes Taborda,Bateria de Carro - Torre 
2017-06-30,1498814484626,-8.03913,-34.910515,Av. 17 de Agosto,Via Total Centro Técnico Automotivo
2017-06-07,1496832061797,-8.136635,-34.913251,Rua Camboim,Aldo Lanternas e Faróis
2017-06-30,1498063295824,-8.050542,-34.893968,"Av Gov. Agamenon Magalhães, 1470",Pcr Equipadora
2017-06-07,1496854946884,-8.114505,-34.913972,Rua Jaçanã,Via Norte
2017-06-19,1497785339699,-8.125167,-34.914812,"Rua João Fontes, 150 em Imbiribeira",Alto Friso Com
2017-06-20,1497976700559,-8.110337,-34.912637,"Av Mal. Mascarenhas de Morais, ~3227",Nissan Eurovia
2017-06-30,1498796016802,-8.130164,-34.9011,Avenida Conselheiro Aguiar,Posto Ipiranga
2017-06-06,1496844898941,-8.092905,-34.908673,"Avenida Mascarenhas de Moraes, 1043 em Imbiribeira",Meira Lins - Concessionária Volkswagen
2017-06-17,1497695043932,-8.041414,-34.937709,Avenida Caxangá,Convertedora Le Gás Serv e Auto Peças
2017-06-24,1498310475305,-8.105111,-34.88927,Avenida Engenheiro Domingos Ferreira,Quality Automoveis
2017-06-24,1498264054822,-8.105053,-34.919616,Rua Potengy,Martelinho de Prata
2017-06-10,1497059716796,-8.065479,-34.916988,Estrada do Bongi,Vulcam
2017-06-22,1498167046647,-8.053534,-34.892039,Rua Padre Inglês,Rodrigo Veículos
2017-06-22,1498163180705,-8.039632,-34.891264,Rua Alfredo de Castro,América Ford
2017-06-25,1498396420012,-8.132236,-34.918065,Rua Desembarque Aeroporto,Pass Garagge
2017-06-28,1498647804347,-8.040784,-34.887417,Rua Doutor Joaquim Arruda Falcão,Carlos Equipadora - Espinheiro
2017-06-16,1497616779185,-8.116148,-34.90305,Rua Padre Carapuceiro,Mar Veiculos
2017-06-22,1498165530933,-8.089225,-34.907666,Avenida Marechal Mascarenhas de Morais,Hyundai CAOA - Imbiribeira 2
2017-06-15,1497530592676,-8.091098,-34.882126,Avenida Antônio de Goes,Motomariner Com Serv
2017-06-15,1497532236608,-8.047091,-34.927306,Avenida Caxangá,Rêgo Barros Automóveis
2017-06-17,1497706887073,-8.10375,-34.911226,Rua Nápolis,Eurovia Veículos
2017-06-19,1497901192669,-8.092496,-34.908608,Avenida Marechal Mascarenhas de Morais,Meira Lins - Concessionária Volkswagen
2017-06-23,1498259171477,-8.063069,-34.910396,Rua Professor Francisco Figueiredo,Volkswagen Bremen
2017-06-19,1497895439857,-8.039657,-34.891328,Rua Alfredo de Castro,América Ford
2017-06-07,1496868715373,-8.04129,-34.884885,Rua Cândido Lacerda,Via Norte Auto Peças
2017-06-11,1497151035571,-8.138849,-34.905947,Rua Izabel Magalhães,Recife Troca Lubrificantes
2017-06-16,1497646286802,-8.045877,-34.90947,Rua Real da Torre,Real Jato
2017-06-13,1497385156803,-8.053635,-34.909448,Rua José Osório,Matoso Veículos - Madalena
2017-06-14,1497480199791,-8.094193,-34.940875,Rua André Dias Figueiredo.,Gilberto Equipadora
2017-06-28,1498686472788,-8.109832,-34.936092,Avenida Dois Rios,Hailton Autopeças
2017-06-16,1497654350909,-8.041051,-34.910138,Rua Marcos André,Moto Pecas Norte
2017-06-19,1497668282830,-8.053588,-34.920293,"Rua Gregório Júnior, 264 em Cordeiro",Pra Fiat
2017-06-09,1496918241106,-8.043903,-34.902931,Rui Barbosa 1105,Toyolex
2017-06-30,1498786550850,-8.046308,-34.928781,Avenida Caxangá,Stilo Pecas e Servic
2017-06-29,1498781628129,-8.062898,-34.904948,Rua Doutor João Marques,Sao Salvador Corretora de Veiculos - Ilha do Retiro
2017-06-30,1498814411409,-8.118607,-34.903323,Anel Viário do Shopping Recife,Lava Jato K'Beer
2017-06-27,1498572267008,-8.080878,-34.944288,Rua Aguati 230,Casa do Mercedes Equipadora
2017-06-06,1496781568304,-8.073386,-34.89582,Avenida Central,Marcio José
2017-06-23,1498224193289,-8.090268,-34.907897,Rua Doutor Valdir Pessoa,GranVia Ford
2017-06-22,1498161580418,-8.08132,-34.933141,Avenida Recife,Reboque São José
2017-06-28,1498615799541,-8.026084,-34.919756,Rua Rio Sul,Rodopecas
2017-06-15,1497565339082,-8.107952,-34.91534,Rua Itacari,Ipsep Pecas Usadas
2017-06-22,1498167626553,-8.064099,-34.910375,Rua Padre Teófilo Tworz,Fiori
2017-06-14,1496050659026,-8.078682,-34.892589,"Rua Capitão Temudo, 266 em Cabanga",Meio Fio Veículos
2017-06-08,1496935493338,-8.05848,-34.939496,Rua Edvaldo Maranhão Ferreira,as Baterias e So Aqui 
2017-06-13,1497356878511,-8.11613,-34.90305,Rua Padre Carapuceiro,Mar Veiculos
2017-06-19,1497897220832,-8.123455,-34.901552,Avenida Fernando Simões Barbosa,Honda Dream
2017-06-24,1498265991132,-8.106242,-34.917516,Rua Itaquice,Fenix Auto Peças e Serviços
2017-06-13,1497373648221,-8.064772,-34.909666,Rua Padre Teófilo Tworz,Concessionária Fiat Fiori
2017-06-11,1497204372369,-8.039823,-34.892233,Rua Conselheiro Portela,America Veiculos Concessionaria Ford
2017-06-08,1496929789982,-8.043574,-34.907919,Rua José Bonifácio,Recife Honda
2017-06-29,1498596486193,-8.120193,-34.945654,Av General Calazans 605,Pronto Wash
2017-06-11,1497144739195,-8.03848,-34.943437,Avenida Caxangá,Caxangá Veículos Chevrolet
2017-06-13,1497388495420,-8.034858,-34.907595,Avenida Parnamirim,Bremen
2017-06-09,1497040468561,-8.112236,-34.921124,Rua Jean Emile Favre,Acessórios Service
2017-06-06,1496714924822,-8.026209,-34.894528,Rua Raul Pompéia,Pinheiro Auto Servic
2017-06-19,1497886454170,-8.047102,-34.907703,Rua Neto Campêlo,Selva Automoveis
2017-06-07,1496864397015,-8.072697,-34.909071,Rua Cosme Viana,Pedragon
2017-06-27,1498524121591,-8.113297,-34.904407,Avenida Antônio Tôrres Galvão,Bremen Veículos
2017-06-14,1496162551615,-8.104933,-34.889615,"Av Eng. Domingos Ferreira, 1653",Meira Lins (volkswagen)
2017-06-29,1498771373635,-8.037124,-34.879737,Rua Odorico Mendes,GGB Autopeças
2017-06-14,1497459096587,-8.062248,-34.910116,Avenida Engenheiro Abdias de Carvalho,Caoa Veículos
2017-06-16,1497642522428,-8.114584,-34.913811,Rua Jaçanã,Via Norte
2017-06-29,1498764453944,-8.106228,-34.921994,Rua Doutor Raposo Pinto,Maurício Auto Peças
2017-06-07,1496794239503,-8.062516,-34.918711,Estrada do Bongi,Univel Veículos
2017-06-16,1497651917559,-8.062488,-34.925431,Rua Isac Markman,Moto Pecas Norte
2017-06-08,1496882077910,-8.1037,-34.910524,"Avenida Marechal  Mascarenhas Morais, 6393 em Imbiribeira",MCR Produtos Automotivos
2017-06-29,1498753059809,-8.055033,-34.909728,Rua Manuel Bezerra,Mult Peças & Serviços
2017-06-14,1497444056099,-8.025929,-34.919864,Rua Casa Amarela,Rodopecas
2017-06-29,1498736171024,-8.055393,-34.906852,Rua Renato de Medeiros,Astral Veículos Multimarcas
2017-06-14,1497434619246,-8.12358,-34.898697,Avenida Conselheiro Aguiar,Rio Auto Peças e Serviços
2017-06-19,1497699390633,-8.09036,-34.908209,"Av. Mal. Mascarenhas de Morais, 884",Marçal Acessorios Automotivos
2017-06-14,1496417531767,-8.105005,-34.889615,"Av Eng. Domingos Ferreira, 1653",Meira Lins (volkswagen)
2017-06-07,1496835840432,-8.094104,-34.888451,Rua Euríco Vitrúvio,V C V Auto Peças
2017-06-09,1496658563824,-8.0814,-34.905129,https://kekanto.com.br/ruas/pe/recife/r-francisco-silveira,Target Recife Blindados
2017-06-15,1497556190212,-8.092381,-34.908324,Avenida Marechal Mascarenhas de Morais,Meira Lins - Concessionária Volkswagen
2017-06-27,1498607571531,-8.02778,-34.917031,Rua Doná Ana Xavier,Pedragon - Casa Amarela
2017-06-18,1497789959024,-8.038459,-34.943093,Avenida Caxangá,Granvia
2017-06-12,1497257109687,-8.107943,-34.91153,Avenida Marechal Mascarenhas de Morais,Troller
2017-06-10,1497000628840,-8.035413,-34.878593,Rua Guaicurus,Auto Londres
2017-06-26,1498501605415,-8.04347,-34.933158,Avenida Caxangá,Autoglass
2017-06-23,1498246281511,-8.131803,-34.918065,Rua Desembarque Aeroporto,Pass Garagge
2017-06-21,1498045844337,-8.049545,-34.896774,Avenida Conselheiro Rosa e Silva,Bradesco Seguros - Aflitos
2017-06-20,1497744009776,-8.107725,-34.911278,"Av Mal. Mascarenhas de Morais, 2837",Divepe - Caminhões Ford
2017-06-19,1496922370244,-8.043648,-34.907897,"R. José Bonifácio, 874",Recife Honda
2017-06-14,1497357589945,-8.039143,-34.890153,Avenida Norte Miguel Arraes de Alencar,Fidel Peças e Serviços
2017-06-26,1498521520616,-8.052696,-34.897534,Rua Joaquim Nabuco,Pra Fiat
2017-06-22,1498145604879,-8.112229,-34.913606,Rua Muritiba,Via Norte
2017-06-10,1497108262902,-8.11435,-34.913886,"Av Mal. Mascarenhas de Morais, 3289",Via Norte
2017-06-20,1497919534896,-8.046434,-34.929708,Rua des Brandão da Rocha,Regence Veiculos Caxanga-Concessionárias Renault
2017-06-09,1497012075959,-8.043856,-34.907617,Rua José Bonifácio,Recife Honda
2017-06-20,1497961456162,-8.046912,-34.877762,Avenida Norte Miguel Arraes de Alencar,Volkswagen do Brasil Ltda-Centro de Treinamento
2017-06-23,1498184664969,-8.066839,-34.939373,Via de Acesso,Ronaldo Da Bomba
2017-06-30,1498861460533,-8.110506,-34.938001,Rua Pintor Agenor de Albuquerque César,Portal do Chopp 
2017-06-12,1497311512159,-8.107952,-34.91534,Rua Itacari,Ipsep Pecas Usadas
2017-06-23,1498231241143,-8.049294,-34.875972,Rua Vinte e Quatro de Agosto,Oficina 7 Estrelas
2017-06-16,1497590284094,-8.126585,-34.906949,Rua Coronel Anizío Rodrigues Coelho,Lava Jato K'Beer
2017-06-19,1497877709044,-8.115018,-34.904017,Rua Dom João VI,Borracharia Irmão Francisco
2017-06-05,1496694613699,-8.034686,-34.884538,Rua Cristovão Jaques,Neto Rodas Auto Service
2017-06-16,1497618674461,-8.053207,-34.915545,Avenida Caxangá,Sulamerica - CASA2
2017-06-09,1496964190379,-8.106379,-34.889324,"Avenida Conselheiro  Aguiar, 2205 em Boa Viagem",Meira Lins - Concessionária Volkswagen
2017-06-25,1498359191089,-8.131599,-34.901574,Rua Setúbal,Mar Veiculos
2017-06-13,1497348981016,-8.037413,-34.954129,Rua Tôrres Homem,Globo Mahindra
2017-06-08,1496881644555,-8.126478,-34.906755,Rua Coronel Anizío Rodrigues Coelho,Lava Jato K'Beer
2017-06-22,1498155908567,-8.049275,-34.87552,Avenida Norte Miguel Arraes de Alencar,Oficina 7 Estrelas
2017-06-11,1497139223066,-8.061894,-34.919821,"Avenida Engenheiro  Abdias de Carvalho, 2870 em Cordeiro",L & L Parabrisas
2017-06-30,1498846109944,-8.04341,-34.934563,Avenida Caxangá,Disnove
2017-06-30,1498838689813,-8.138737,-34.905893,Rua Izabel Magalhães,Recife Troca Lubrificantes
2017-06-19,1497912484412,-8.053414,-34.914995,Rua Campos Sáles,Construtora Itaíba
2017-06-10,1497060102762,-8.053381,-34.91534,"Av Caxangá, 670",Tintel Veículos
2017-06-08,1496917456278,-8.04186,-34.89915,Rua do Futuro,Box Serv
2017-06-27,1498594012017,-8.073723,-34.886992,"Rua Imperial, 617 em São José",Mineiro Rodas
2017-06-22,1498143288260,-8.039735,-34.891457,Avenida João de Barros,América Ford
2017-06-20,1497820447665,-8.06224,-34.910105,"Av Eng Abdias Carvalho, 1079",Caoa Veículos
2017-06-16,1497618265792,-8.044278,-34.931958,Estrada do Caiara,Jbs Veiculos
2017-06-15,1497540231331,-8.104834,-34.888367,Avenida Conselheiro Aguiar,Poliroda Acessórios
2017-06-23,1498171926666,-8.112093,-34.913154,"Avenida Marechal  Mascarenhas Morais, 3110 em Imbiribeira",Via Norte
2017-06-29,1498748593880,-8.074727,-34.907415,Estrada dos Remédios,Nev Car
2017-06-28,1498668847228,-8.053379,-34.912561,Rua Engenheiro Leonardo Arco-Verde,Paulo Veículos
2017-06-21,1498003954735,-8.023782,-34.883058,Rua Desenhista Eulino Santos,Stand Kar
2017-06-09,1497009822734,-8.039647,-34.891339,Rua Alfredo de Castro,América Ford
2017-06-19,1497871889637,-8.039619,-34.89135,Avenida Norte Miguel Arraes de Alencar,América Ford
2017-06-07,1496878628876,-8.148552,-34.914747,Rua Armindo Moura,LIV Brasil
2017-06-28,1498685050094,-8.065117,-34.907412,Rua Tabaiares,Pateo - Concessionária Hyundai
2017-06-22,1498139485419,-8.039657,-34.891328,Rua Alfredo de Castro,América Ford
2017-06-11,1497209401410,-8.017301,-34.895866,Rua Nazaré,Gonçalves & Assis - Beberibe
2017-06-07,1496845691032,-8.06807,-34.909921,Estrada do Bongi,Imbiribeira Veiculos
2017-06-07,1496798607359,-8.132957,-34.912357,Rua Barão de Souza Leão,CFC Albuquerque
2017-06-30,1498831289790,-8.106129,-34.927284,Avenida Recife,Menor Preço Oficina
2017-06-26,1498491661970,-8.13179,-34.918194,Rua Desembarque Aeroporto,Pass Garagge
2017-06-23,1497013561647,-8.041831,-34.937127,"Av Caxangá, 3489",Oficina Globo
2017-06-30,1498854496557,-8.085898,-34.895895,"Av República do Líbano, 251",Onibos Indo Pra Casa
2017-06-12,1497281418287,-8.040433,-34.886943,Rua Guadalupe,Vidrocar
2017-06-16,1497643669308,-8.054404,-34.90878,Rua Real da Torre,Marcos Equipadora
2017-06-15,1497528891665,-8.10485,-34.889927,Avenida Engenheiro Domingos Ferreira,Meira Lins
2017-06-12,1497295719309,-8.054107,-34.920316,Rua Gregório Júnior,Estoque Distribuidora Peças
2017-06-29,1498741458846,-8.067097,-34.878907,Rua Felipe Camarão,Tio Tonho Serviços e Auto Peças
2017-06-22,1498151961262,-8.094344,-34.90947,Avenida Marechal Mascarenhas de Morais,Palácio das Baterias
2017-06-26,1498487348971,-8.046475,-34.92976,Rua des Brandão da Rocha,Regence Veiculos Caxanga-Concessionárias Renault
2017-06-11,1497215866847,-8.045533,-34.928221,Rua Sigismundo Gonçalves,"Mecânica Três ""M"""
2017-06-28,1498663514120,-8.059597,-34.897723,Avenida Governador Agamenon Magalhães,Val Bike
2017-06-29,1498698713177,-8.149509,-34.912486,Rua Ernesto de Souza Leão,VAPS-Centro Automotivo
2017-06-15,1497531809700,-8.092474,-34.908639,Avenida Marechal Mascarenhas de Morais,Meira Lins - Concessionária Volkswagen
2017-06-13,1497356318101,-8.095701,-34.919175,Avenida Pinheiros,Autoline Veículos
2017-06-10,1497071476281,-8.123455,-34.901552,Avenida Fernando Simões Barbosa,Honda Dream
2017-06-12,1497286282869,-8.053737,-34.904762,Rua Professor José Torres Pires,Fred'S Veículos - Madalena
2017-06-29,1498602482490,-8.128202,-34.899085,"Rua Dos Navegantes, 401 em Boa Viagem",Marcos Pneus
2017-06-16,1497579035731,-8.122787,-34.904967,Rua Ribeiro de Brito,COFAP-Companhia Fabricadora Peças
2017-06-30,1498843099768,-8.039469,-34.941413,Avenida Caxangá,Iputinga Automóveis
2017-06-30,1498854649210,-8.08697,-34.89052,Rua Barão de Santo Ângelo,Sael Chrysler
2017-06-14,1497482881301,-8.05858,-34.939119,Rua Zumbí dos Palmares,as Baterias e So Aqui 
2017-06-10,1497124260810,-8.083178,-34.944105,Rua Lorena,Jato Autopeças e Serviços
2017-06-10,1496931910535,-8.002488,-34.857912,"Av Pan Nordestina, ~2106",Chevrolet Hall
2017-06-13,1497384494134,-8.026233,-34.89456,Rua Raul Pompéia,Pinheiro Auto Servic
2017-06-27,1498574926510,-8.040378,-34.88704,Avenida Norte Miguel Arraes de Alencar,Kalhambek Equipadora
2017-06-29,1498730438606,-8.053414,-34.914995,Rua Campos Sáles,Verauto Veículos
2017-06-19,1497903600661,-8.043502,-34.933175,Avenida Caxangá,Autoglass
2017-06-15,1497536101939,-8.128126,-34.916286,Rua Pintor Lula Cardoso Aires,Moto Pecas Norte
2017-06-30,1498849735755,-8.090268,-34.907897,Rua Doutor Valdir Pessoa,GranVia Ford
2017-06-27,1498559054810,-8.057388,-34.890251,Avenida Conde da Boa Vista,Paulo Veículos
2017-06-16,1497612131234,-8.109914,-34.936178,Avenida Dois Rios,Hailton Autopeças
2017-06-08,1496893485370,-8.026084,-34.919757,Rua Rio Sul,Rodopecas
2017-06-22,1498132159149,-8.092916,-34.908677,Rua Engenheiro José Brandão Cavalcante,Meira Lins
2017-06-29,1498679035968,-8.087045,-34.965536,"Rua Aprígio Guímarães, 1030",Rota Premium Boa Viagem
2017-06-30,1498860520687,-8.04034,-34.887061,Avenida Norte Miguel Arraes de Alencar,Kalhambek Equipadora
2017-06-27,1498581624626,-8.053246,-34.896693,Avenida Governador Agamenon Magalhães,Pra Fiat
2017-06-29,1498726218533,-8.132295,-34.918388,Aeroporto Internacional dos Guararapes,Pass Garagge
2017-06-12,1497272101512,-8.045738,-34.930106,Avenida Inácio Monteiro,Stilo Pecas e Servic
2017-06-12,1497265713635,-8.136774,-34.913218,Rua Camboim,Aldo Lanternas e Faróis
2017-06-23,1498234491198,-8.132138,-34.917591,Rua Desembarque Aeroporto,Pass Garagge
2017-06-25,1498393129853,-8.041105,-34.937779,Avenida Caxangá,Novo Horizonte Veículos - Cordeiro
2017-06-24,1498243967151,-8.046308,-34.928781,"Avenida Caxangá, 2421 em Cordeiro",Bandeirante Veículos
2017-06-08,1496927417323,-8.06266,-34.912378,Avenida Engenheiro Abdias de Carvalho,Capotaria Abdias de Carvalho
2017-06-19,1497907173922,-8.032406,-34.892082,Avenida Beberibe,Oficina J M
2017-06-29,1498778005117,-8.125419,-34.908137,Rua Amália Bernardino de Souza,Arthur Equipadora
2017-06-20,1497941431170,-8.021978,-34.891303,Rua Bom Conselho 363,Roberta
2017-06-17,1497677082528,-8.026084,-34.919756,Rua Rio Sul,Rodopecas
2017-06-10,1497105116532,-8.084657,-34.887457,"Avenida Engenheiro  Antônio Góes, 869 em Pina",Maxblindage
2017-06-12,1497260847279,-8.119073,-34.898977,Rua Francisco da Cunha,Mar Veiculos
2017-06-26,1498508268483,-8.108674,-34.912658,Rua Itacari,Auto Espaço Multimarcas
2017-06-26,1498437495773,-7.986548,-34.856336,"Rua Artur Pelópidas Queiróz, ~34",Rodrigo Veículos
2017-06-09,1497007235197,-8.066532,-34.881123,Rua da Palma,Tio Tonho Serviços e Auto Peças
2017-06-26,1498491812984,-8.138737,-34.905893,Rua Izabel Magalhães,Recife Troca Lubrificantes
2017-06-24,1498317766548,-8.039863,-34.892239,Rua Conselheiro Portela,America Veiculos Concessionaria Ford
2017-06-12,1497272658320,-8.129843,-34.91603,Avenida Marechal Mascarenhas de Morais,Toyolex Veiculos Ltda
2017-06-13,1497297137422,-8.126004,-34.91031,Avenida Desembargador José Neves,Fiori Boa Viagem
2017-06-22,1498139885098,-8.095701,-34.919175,Avenida Pinheiros,Autoline Veículos
2017-06-09,1497014961526,-8.092487,-34.908635,Avenida Marechal Mascarenhas de Morais,Meira Lins - Concessionária Volkswagen
2017-06-08,1496938433390,-8.104785,-34.910698,"Avenida Marechal  Mascarenhas Morais, 2885 em Imbiribeira",Maravilha Motos
2017-06-18,1497826139563,-8.015665,-34.890971,"Avenida Beberibe, 2693 Loja B em Fundão",Fera`s Film Equipadora
2017-06-11,1497194239423,-8.011608,-34.933303,Rua Flávio Guerra,Mplub
2017-06-21,1498056674187,-8.022925,-34.899233,Rua Bastos Ribeiro,Gonçalves & Assis - Beberibe
2017-06-13,1497352901623,-8.112324,-34.926143,Rua Aristides Lobo,Sul Peças
2017-06-09,1494537487775,-8.103189,-34.910859,"Av. Mascarenhas de Moraes, 2156",Fiat Italiana
2017-06-17,1497708252239,-8.06646,-34.908446,Estrada dos Remédios,Fiori Motos
2017-06-15,1497555719575,-8.064772,-34.909666,Rua Padre Teófilo Tworz,Concessionária Fiat Fiori
2017-06-30,1498856418809,-8.132225,-34.918367,Piso Embarque,Pass Garagge
2017-06-27,1498570719534,-8.13321,-34.900718,Rua Doutor Vicente Gomes,Reparo Veículos
2017-06-19,1497664712309,-8.106246,-34.890113,"Avenida Engenheiro Domingos Ferreira, 1970 sl 102 em Boa Viagem",Meira Lins - Concessionária Volkswagen
2017-06-30,1498830186738,-8.132988,-34.916374,Avenida Marechal Mascarenhas de Morais,Rodobens Caminhoes
2017-06-26,1498499717331,-8.06229,-34.913412,Avenida Engenheiro Abdias de Carvalho,Big Car
2017-06-16,1497619760786,-8.059719,-34.898417,Rua Viscondessa do Livramento,Recife Motor
2017-06-25,1498431046129,-8.029341,-34.892631,Avenida Beberibe,União Corretora de Veículos
2017-06-14,1497450620192,-8.108755,-34.891324,PE-009,Rota Premium Veículos
2017-06-23,1498220227420,-8.026648,-34.896435,"Rua Bolivar, ~361",Oficina J M
2017-06-28,1498598641921,-8.072665,-34.885059,"Rua Imperial, 112",Jorge Som e acessórios
2017-06-25,1498395908161,-8.103596,-34.928275,Avenida Recife,São Paulo Veículos
2017-06-06,1496789154658,-8.040613,-34.88704,Rua Guadalupe,Vidrocar
2017-06-07,1496834818508,-8.058703,-34.886081,Rua Gervásio Píres,Pró Pneus
2017-06-12,1497244962306,-8.045004,-34.880062,Avenida Norte Miguel Arraes de Alencar,Adelmo Auto Serviços
2017-06-18,1497752108533,-8.061894,-34.919821,"Avenida Engenheiro  Abdias de Carvalho, 2870 em Cordeiro",L & L Parabrisas
2017-06-30,1498827673866,-8.062223,-34.919121,Avenida Engenheiro Abdias de Carvalho,Autotecnica Centro Automotivo
2017-06-24,1498319372374,-8.121208,-34.904398,Rua Bruno Veloso,Multi Ambiental
2017-06-28,1498671497240,-8.044764,-34.909039,Rua José de Holanda,Oliveira Veículos
2017-06-08,1496927251370,-8.095681,-34.919196,Avenida Pinheiros,Autoline Veículos
2017-06-29,1498754002231,-8.034891,-34.907336,Rua Marcelino Lisboa,Bremen
2017-06-28,1498685487291,-8.119732,-34.901207,Avenida Fernando Simões Barbosa,Safecar
2017-06-10,1497102331411,-8.134985,-34.909534,Rua Rio Azul,Denildo Serviços Automotivos
2017-06-29,1498740057605,-8.155778,-34.913037,Rua Hermínio Alves de Queirós,Paulo Peças 
2017-06-14,1497442273162,-8.053646,-34.909438,Rua José Osório,Matoso Veículos - Madalena
2017-06-16,1497619416174,-8.10362,-34.927845,Avenida Recife,São Paulo Veículos
2017-06-15,1497500862869,-8.030672,-34.941409,Rua Cuité,Modificar Veículos Especiais
2017-06-20,1497977331941,-8.04031,-34.886997,Avenida Norte Miguel Arraes de Alencar,Kalhambek Equipadora
2017-06-12,1497289915719,-8.056297,-34.910095,"Avenida Caxangá, 100 em Madalena",Bateria Automotiva
2017-06-22,1498149945963,-8.054938,-34.906906,Avenida Visconde de Albuquerque,Astral Veículos Multimarcas
2017-06-19,1497907741074,-8.045537,-34.928208,Rua Sigismundo Gonçalves,"Mecânica Três ""M"""
2017-06-28,1498653867551,-8.120392,-34.94579,Avenida Pernambuco,Pronto Wash
2017-06-11,1497150308022,-8.053564,-34.920058,Rua Gregório Júnior,Pra Fiat
