dt,ts,lat,lng,thoroughfare,place_name
2017-06-22,1498149102635,-8.132542,-34.912992,Rua Doutor Luiz Correia de Oliveira,Aero Veiculos
2017-06-06,1496757943179,-8.047002,-34.927286,Avenida Caxangá,Rêgo Barros Automóveis
2017-06-19,1497911553726,-8.092517,-34.909319,Avenida Marechal Mascarenhas de Morais,Meira Lins - Concessionária Volkswagen
2017-06-27,1498583341452,-8.088104,-34.883398,Rua Adeildo Portela,Recife Motor
2017-06-09,1497027574033,-8.041161,-34.898449,Av. Cons. Rosa e Silva,Avenida Conselheiro Rosa e Silva
2017-06-07,1496795337348,-8.132981,-34.90083,Rua Doutor Vicente Gomes,Reparo Veículos
2017-06-28,1498679154893,-8.06368,-34.909588,Rua João Ivo da Silva,Fiori
2017-06-25,1498388346400,-8.11061,-34.909016,Rua Joaquim Bandeira,Rota Premium Imbiribeira
2017-06-16,1497653385163,-8.126867,-34.913961,"Rua Nestor Moreira, 138 em Imbiribeira",Import Service
2017-06-16,1497645571142,-8.037554,-34.954029,Rua Tôrres Homem,Globo Mahindra
2017-06-22,1498084553830,-8.086497,-34.893806,RioMar Recife,Recife Motor
2017-06-21,1498074757539,-8.082459,-34.906023,Avenida Sul Governador Cid Sampaio,Trocão
2017-06-12,1497277647177,-8.031659,-34.954872,"Av Caxangá, 4496",Sumaré Veículos
2017-06-09,1497043989581,-8.039485,-34.909825,Rua Professora Ângela Pinto,Via Total Centro Técnico Automotivo
2017-06-12,1497332243950,-8.072702,-34.90907,Rua Cosme Viana,Pedragon
2017-06-13,1497373674505,-8.095693,-34.919164,Avenida Pinheiros,Autoline Veículos
2017-06-19,1497911840740,-8.091292,-34.909761,Avenida Pinheiros,Troller
2017-06-22,1498147151624,-8.119411,-34.91282,Rua Almeida,Shopping do Automóvel de Pernambuco
2017-06-17,1497663520654,-8.053576,-34.920306,Rua Gregório Júnior,Pra Fiat
2017-06-13,1497350252652,-8.115155,-34.912583,"Av. Mal. Mascarenhas De Moraes, 3421",Via Norte
2017-06-10,1497105801309,-8.046564,-34.906841,Rua José Bonifácio,VK Distribuidora de Peças e Acessórios
2017-06-19,1497893050162,-8.085231,-34.931661,Rua José Gomes de Moura,Auto Recife Multi Marcas
2017-06-26,1498475137695,-8.061625,-34.906341,Avenida Engenheiro Abdias de Carvalho,CarGlass
2017-06-27,1498585397321,-8.110605,-34.909899,Rua Joaquim Bandeira,Rota Premium Imbiribeira
2017-06-13,1497362854233,-8.043159,-34.886727,"Av Governador Agamenon Magalhães, 706",Kalhambek Equipadora
2017-06-28,1498662536095,-8.103397,-34.911042,"Av. Mascarenhas de Morais, 2200",Fiat Italiana - Recife
2017-06-08,1496928569669,-8.045881,-34.92956,"Av Caxangá, 2477",Rodrigues Veículos
2017-06-08,1496947798148,-8.093793,-34.913089,Rua Cônego Líra,Marcio José
2017-06-21,1498055371410,-8.04492,-34.877752,Rua José Penante,Via Norte Auto Peças
2017-06-29,1498763652224,-8.065528,-34.909136,Rua Cosme Viana,Fiori
2017-06-30,1498825737027,-8.062342,-34.913434,Avenida Engenheiro Abdias de Carvalho,Big Car
2017-06-08,1496927918588,-8.067114,-34.879987,Rua João Souto Maior,City Bike
2017-06-12,1497302958770,-8.05468,-34.897675,Avenida Governador Agamenon Magalhães,Toyolex Veículos
2017-06-30,1498843640044,-7.93848,-34.899945,"Av. Engenheiro Domingos Ferreira, 466",HDI Seguros Recife
